Feature,RF Importance,Mutual Information,Normal Mean,Suspicious Mean,Normal Median,Suspicious Median,Normal Std,Suspicious Std,Mean Difference,Absolute Mean Difference,Standardized Difference,RF Rank,MI Rank,Difference Rank,Standardized Rank,Average Rank
Login Location Match,0.013234067952858138,0.006052670040347152,0.7063646470261257,0.6990049751243781,1.0,1.0,0.45545851614149235,0.458976070834992,-0.007359671901747578,0.007359671901747578,-0.01609654218309452,17.0,2.0,20.0,18.0,14.25
Transaction_Weekday_Wednesday,0.007160790753986838,0.0008152911251739781,0.1632851584213452,0.14925373134328357,0.0,0.0,0.3696513277128941,0.3565602100079369,-0.014031427078061626,0.014031427078061626,-0.03863653245081495,25.0,10.0,13.0,9.0,14.25
Transaction_Weekday_Saturday,0.009250863421080358,0.0,0.16745414118954974,0.1791044776119403,0.0,0.0,0.3734067864882692,0.3836784587138648,0.01165033642239055,0.01165033642239055,0.03077398319804633,20.0,13.0,14.0,10.0,14.25
Spending Pattern Deviation,0.010706179359648611,0.0,0.19983324068927183,0.21144278606965175,0.0,0.0,0.3999026636067947,0.4085858221444834,0.011609545380379921,0.011609545380379921,0.028717479784800822,19.0,13.0,15.0,11.0,14.5
User Device Recognition,0.01806107265026039,0.003836400903426851,0.8025291828793775,0.8059701492537313,1.0,1.0,0.39811822285675125,0.39569813658534386,0.003440966374353871,0.003440966374353871,0.008669386420848394,8.0,7.0,23.0,22.0,15.0
Type_Withdrawal,0.015589487131830917,0.0,0.32601445247359645,0.31840796019900497,0.0,0.0,0.468785204950407,0.46614868657311637,-0.007606492274591481,0.007606492274591481,-0.016271657490845613,11.0,13.0,19.0,17.0,15.0
Transaction_Day,0.026873382454934477,0.0,3.4930516953863258,3.5012437810945274,3.0,3.0,1.6999633150098665,1.6563394786446086,0.008192085708201624,0.008192085708201624,0.004881200729028715,7.0,13.0,18.0,24.0,15.5
Transaction_Weekday_Thursday,0.00888823448252119,0.0,0.17245692051139522,0.16293532338308458,0.0,0.0,0.3778033436263197,0.36953653554740495,-0.009521597128310633,0.009521597128310633,-0.02547974466738232,22.0,13.0,17.0,12.0,16.0
Location_New York,0.015194202604169874,0.0,0.2544469149527515,0.25870646766169153,0.0,0.0,0.435580128641334,0.438196596794807,0.004259552708940018,0.004259552708940018,0.009749707192062033,12.0,13.0,22.0,21.0,17.0
Location_Deviation,0.013541552378167869,0.0,0.2936353529738744,0.3009950248756219,0.0,0.0,0.45545851614149235,0.458976070834992,0.007359671901747522,0.007359671901747522,0.0160965421830944,15.0,13.0,21.0,19.0,17.0
Type_Transfer,0.015612426827113276,0.0,0.3318510283490828,0.32960199004975127,0.0,0.0,0.4709105435221558,0.4703612355957949,-0.0022490382993315405,0.0022490382993315405,-0.004778721653518307,10.0,13.0,25.0,25.0,18.25
Location_Texas,0.014105471637839324,0.0,0.24583101723179543,0.24875621890547264,0.0,0.0,0.4306087502975225,0.4325613083173094,0.0029252016736772135,0.0029252016736772135,0.006777793461177415,14.0,13.0,24.0,23.0,18.5
Transaction_Month,0.0,0.0065397568816032425,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,27.0,1.0,27.0,27.0,20.5
High_Value_Transaction,0.0,0.004099351655192818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,5.0,27.0,27.0,21.5
Transaction_Weekday_Monday,0.007299154007818721,0.0,0.16342412451361868,0.16169154228855723,0.0,0.0,0.36977788152339663,0.3683967815692677,-0.001732582225061452,0.001732582225061452,-0.00469422557893136,24.0,13.0,26.0,26.0,22.25
Location_Deviation_High_Amount,0.0,0.0003193939647094801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,12.0,27.0,27.0,23.25
Low_Balance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,13.0,27.0,27.0,23.5
High_Amount_Unusual_Hour,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,13.0,27.0,27.0,23.5
