Transaction ID,Timestamp,Sender Account ID,Receiver Account ID,Amount,Type,Device ID,IP Address,Location,Account Balance,Suspicious Activity Flag,User Device Recognition,Known Threat Flag,Login Location Match,Spending Pattern Deviation,Fraud Probability,Risk Score,Risk Level,Prediction,Decision Threshold,Model Classification
T5470,2025-01-06 13:48:45,A31556,B84314,9597.4,Transfer,D573,151.241.215.163,Florida,2647.97,1,1,0,0,1,0.99997,100.0,High,Suspicious,0.42,True Positive (Caught Fraud)
T5073,2025-01-01 06:36:22,A89782,B87140,5949.06,Transfer,D714,147.84.177.239,New York,1411.82,1,0,0,0,1,1.0,100.0,High,Suspicious,0.42,True Positive (Caught Fraud)
T1927,2025-01-03 17:51:31,A81327,B83885,9247.76,Transfer,D876,140.85.40.206,New York,2391.54,1,1,0,0,1,0.99995,100.0,High,Suspicious,0.42,True Positive (Caught Fraud)
T0459,2025-01-05 04:00:32,A26198,B64431,1075.61,Transfer,D884,81.163.161.12,New York,1590.89,1,0,0,0,1,0.999991,100.0,High,Suspicious,0.42,True Positive (Caught Fraud)
T2859,2025-01-06 17:59:18,A75888,B23213,3068.35,Deposit,D535,88.177.116.163,Florida,4769.83,1,0,0,0,1,0.999977,100.0,High,Suspicious,0.42,True Positive (Caught Fraud)
T4283,2025-01-01 07:59:55,A97840,B56384,9987.93,Withdrawal,D681,32.25.41.201,Florida,2516.93,1,1,0,0,1,0.999984,100.0,High,Suspicious,0.42,True Positive (Caught Fraud)
T7553,2025-01-03 21:32:31,A83202,B54327,7673.12,Deposit,D321,71.220.77.202,Texas,1609.8,1,0,1,0,1,1.0,100.0,High,Suspicious,0.42,True Positive (Caught Fraud)
T8529,2025-01-02 19:14:26,A56533,B23102,3726.39,Withdrawal,D155,193.33.80.5,Florida,1809.88,1,0,0,0,1,1.0,100.0,High,Suspicious,0.42,True Positive (Caught Fraud)
T9097,2025-01-03 17:28:22,A70062,B21932,9686.61,Withdrawal,D688,244.185.71.252,New York,1737.46,1,1,0,0,1,0.999963,100.0,High,Suspicious,0.42,True Positive (Caught Fraud)
T1081,2025-01-06 20:32:30,A36811,B66922,6450.18,Transfer,D645,10.183.127.152,New York,1897.82,1,0,0,0,1,1.0,100.0,High,Suspicious,0.42,True Positive (Caught Fraud)
T5541,2025-01-05 15:30:15,A28040,B53726,4749.55,Deposit,D671,176.197.191.55,Texas,4359.12,1,0,0,0,1,0.999999,100.0,High,Suspicious,0.42,True Positive (Caught Fraud)
T0110,2025-01-01 11:13:17,A98657,B32343,8448.32,Withdrawal,D600,134.112.21.101,California,3157.39,1,1,1,1,1,0.999967,100.0,High,Suspicious,0.42,True Positive (Caught Fraud)
T5625,2025-01-01 17:43:31,A84092,B23820,4147.42,Deposit,D481,44.155.58.134,Texas,2301.15,1,0,0,0,1,1.0,100.0,High,Suspicious,0.42,True Positive (Caught Fraud)
T9611,2025-01-02 06:04:15,A69789,B37005,8971.08,Transfer,D818,125.47.249.147,Florida,1828.79,1,1,0,0,1,0.999922,99.99,High,Suspicious,0.42,True Positive (Caught Fraud)
T1588,2025-01-04 16:08:40,A65556,B12470,9968.22,Deposit,D944,152.199.254.106,Texas,1322.93,1,1,0,0,1,0.999937,99.99,High,Suspicious,0.42,True Positive (Caught Fraud)
T2136,2025-01-01 18:42:44,A28482,B73372,9012.65,Transfer,D171,217.99.60.39,Texas,3113.1,1,1,0,0,1,0.999907,99.99,High,Suspicious,0.42,True Positive (Caught Fraud)
T7540,2025-01-06 12:32:44,A26258,B61224,9382.92,Withdrawal,D282,171.41.200.235,California,3463.93,1,0,0,1,1,0.999919,99.99,High,Suspicious,0.42,True Positive (Caught Fraud)
T0276,2025-01-01 10:55:53,A54115,B30405,1577.18,Withdrawal,D198,50.169.241.189,New York,3942.47,1,0,0,0,1,0.999922,99.99,High,Suspicious,0.42,True Positive (Caught Fraud)
T8573,2025-01-02 03:17:14,A17443,B91079,1856.27,Transfer,D220,156.66.58.215,Texas,4221.49,1,0,0,0,1,0.999932,99.99,High,Suspicious,0.42,True Positive (Caught Fraud)
T5461,2025-01-06 17:32:44,A37278,B43782,6983.17,Transfer,D553,157.75.202.119,California,2722.79,1,1,1,1,1,0.999768,99.98,High,Suspicious,0.42,True Positive (Caught Fraud)
T0894,2025-01-03 17:11:17,A86230,B66321,9796.7,Deposit,D329,23.120.10.155,California,4809.5,1,0,0,1,1,0.999848,99.98,High,Suspicious,0.42,True Positive (Caught Fraud)
T1999,2025-01-01 21:30:54,A36145,B80780,8633.2,Deposit,D675,80.54.4.68,New York,2933.13,1,1,0,0,1,0.999849,99.98,High,Suspicious,0.42,True Positive (Caught Fraud)
T6194,2025-01-05 07:27:41,A27881,B26802,8265.6,Transfer,D582,153.150.35.117,Texas,4808.75,1,1,1,1,1,0.9998,99.98,High,Suspicious,0.42,True Positive (Caught Fraud)
T2111,2025-01-01 00:34:10,A34406,B81727,8197.3,Deposit,D143,209.78.125.98,New York,2897.43,1,1,0,0,1,0.999768,99.98,High,Suspicious,0.42,True Positive (Caught Fraud)
T8403,2025-01-02 01:15:09,A66078,B66437,9217.99,Transfer,D112,60.31.105.44,Texas,4848.96,1,0,0,1,1,0.999658,99.97,High,Suspicious,0.42,True Positive (Caught Fraud)
T8101,2025-01-05 07:21:59,A72683,B22651,8258.34,Transfer,D382,111.90.225.112,Florida,3346.76,1,1,0,0,1,0.999692,99.97,High,Suspicious,0.42,True Positive (Caught Fraud)
T2144,2025-01-03 04:08:30,A82227,B16229,7820.68,Deposit,D382,29.120.153.199,Florida,1729.09,1,1,0,0,1,0.999631,99.96,High,Suspicious,0.42,True Positive (Caught Fraud)
T5990,2025-01-03 21:54:31,A70727,B39846,7800.52,Withdrawal,D794,211.218.154.134,New York,2142.74,1,1,0,0,1,0.999613,99.96,High,Suspicious,0.42,True Positive (Caught Fraud)
T6662,2025-01-04 12:52:19,A12124,B14078,8479.0,Deposit,D909,224.11.12.235,California,3844.24,1,0,0,1,1,0.999556,99.96,High,Suspicious,0.42,True Positive (Caught Fraud)
T3756,2025-01-03 06:01:49,A96240,B20114,8177.18,Deposit,D726,120.185.162.30,California,3515.31,1,1,0,0,1,0.999604,99.96,High,Suspicious,0.42,True Positive (Caught Fraud)
T2984,2025-01-06 18:21:30,A95001,B81980,8140.78,Transfer,D800,208.180.9.1,Texas,3681.95,1,1,0,0,1,0.999458,99.95,High,Suspicious,0.42,True Positive (Caught Fraud)
T2995,2025-01-04 16:23:52,A25167,B31540,7545.63,Deposit,D948,53.243.83.44,Texas,2073.19,1,1,0,0,1,0.999476,99.95,High,Suspicious,0.42,True Positive (Caught Fraud)
T6244,2025-01-02 23:49:26,A42535,B29760,8512.87,Withdrawal,D995,1.244.141.207,Florida,1211.96,1,0,0,1,1,0.999381,99.94,High,Suspicious,0.42,True Positive (Caught Fraud)
T0968,2025-01-05 16:16:31,A40562,B43822,178.93,Deposit,D194,251.229.213.94,Florida,3845.9,1,0,0,0,1,0.999366,99.94,High,Suspicious,0.42,True Positive (Caught Fraud)
T7175,2025-01-03 07:28:57,A92971,B50431,7796.43,Transfer,D121,47.32.184.102,California,3077.84,1,0,0,1,1,0.999364,99.94,High,Suspicious,0.42,True Positive (Caught Fraud)
T3967,2025-01-04 06:00:25,A93609,B79432,9961.53,Transfer,D932,146.117.41.93,Florida,2856.06,1,1,1,0,0,0.999447,99.94,High,Suspicious,0.42,True Positive (Caught Fraud)
T6531,2025-01-05 19:55:39,A87120,B89199,8527.9,Deposit,D310,173.248.23.34,Florida,4294.76,1,0,0,1,1,0.999322,99.93,High,Suspicious,0.42,True Positive (Caught Fraud)
T1847,2025-01-03 09:46:20,A80248,B13236,9970.92,Withdrawal,D154,47.65.222.140,Florida,1927.06,1,0,1,1,0,0.999224,99.92,High,Suspicious,0.42,True Positive (Caught Fraud)
T2844,2025-01-02 09:51:03,A84632,B25852,9506.29,Deposit,D388,102.238.255.244,California,2705.97,1,1,1,0,0,0.999219,99.92,High,Suspicious,0.42,True Positive (Caught Fraud)
T6987,2025-01-04 13:16:09,A10908,B55797,7343.0,Transfer,D608,220.93.41.0,Texas,2905.46,1,1,0,0,1,0.999072,99.91,High,Suspicious,0.42,True Positive (Caught Fraud)
T2102,2025-01-02 05:16:13,A53019,B11567,6686.96,Deposit,D173,217.140.176.131,New York,3925.21,1,1,1,1,1,0.999088,99.91,High,Suspicious,0.42,True Positive (Caught Fraud)
T5168,2025-01-06 16:08:03,A21698,B78633,9716.53,Withdrawal,D535,56.12.76.11,Texas,3254.95,1,0,1,1,0,0.998843,99.88,High,Suspicious,0.42,True Positive (Caught Fraud)
T3092,2025-01-03 06:35:53,A42813,B25221,7419.08,Withdrawal,D201,28.155.117.116,California,3471.65,1,1,0,0,1,0.99879,99.88,High,Suspicious,0.42,True Positive (Caught Fraud)
T9780,2025-01-02 16:20:13,A71040,B77178,6883.97,Deposit,D688,24.122.65.25,California,2443.79,1,1,0,0,1,0.998571,99.86,High,Suspicious,0.42,True Positive (Caught Fraud)
T2079,2025-01-03 09:23:24,A44523,B59531,7210.93,Deposit,D142,112.67.100.100,Florida,3211.69,1,1,0,0,1,0.998633,99.86,High,Suspicious,0.42,True Positive (Caught Fraud)
T4126,2025-01-02 10:06:15,A83469,B46258,7769.37,Withdrawal,D680,26.219.100.167,California,1094.78,1,1,0,0,1,0.998554,99.86,High,Suspicious,0.42,True Positive (Caught Fraud)
T2910,2025-01-01 18:40:03,A62204,B66921,6803.84,Transfer,D569,219.113.69.166,California,1876.07,1,1,0,0,1,0.998521,99.85,High,Suspicious,0.42,True Positive (Caught Fraud)
T0192,2025-01-03 12:49:29,A21831,B11643,8969.73,Deposit,D282,43.122.210.86,New York,2166.82,1,0,1,1,0,0.998549,99.85,High,Suspicious,0.42,True Positive (Caught Fraud)
T2832,2025-01-01 21:59:01,A49749,B43762,5381.52,Withdrawal,D902,52.12.77.234,California,1854.23,1,1,1,1,1,0.99841,99.84,High,Suspicious,0.42,True Positive (Caught Fraud)
T6628,2025-01-03 15:57:13,A56009,B92054,9213.48,Transfer,D681,31.76.69.92,Texas,3483.98,1,1,1,0,0,0.998349,99.83,High,Suspicious,0.42,True Positive (Caught Fraud)
T0790,2025-01-03 00:25:58,A34143,B79617,9834.17,Withdrawal,D550,252.241.64.70,Florida,4431.34,1,1,1,0,0,0.998112,99.81,High,Suspicious,0.42,True Positive (Caught Fraud)
T8024,2025-01-03 01:59:31,A43939,B54133,7330.74,Deposit,D150,68.157.13.1,California,3930.45,1,1,0,0,1,0.997965,99.8,High,Suspicious,0.42,True Positive (Caught Fraud)
T6261,2025-01-04 09:38:45,A95366,B44833,6761.82,Deposit,D287,131.195.17.0,New York,2844.23,1,1,0,0,1,0.997985,99.8,High,Suspicious,0.42,True Positive (Caught Fraud)
T3857,2025-01-01 06:00:21,A66174,B70873,5272.02,Transfer,D198,134.112.176.99,Florida,2367.71,1,1,1,1,1,0.998037,99.8,High,Suspicious,0.42,True Positive (Caught Fraud)
T0399,2025-01-05 09:08:00,A97505,B56515,6957.89,Transfer,D855,79.44.100.194,Texas,1342.79,1,0,0,1,1,0.997781,99.78,High,Suspicious,0.42,True Positive (Caught Fraud)
T9329,2025-01-06 18:26:12,A77388,B29689,6940.19,Withdrawal,D603,107.185.204.102,Texas,3254.93,1,1,0,0,1,0.997685,99.77,High,Suspicious,0.42,True Positive (Caught Fraud)
T5189,2025-01-04 07:20:22,A16929,B67719,9119.85,Transfer,D151,172.16.231.186,New York,3881.77,1,1,1,0,0,0.997687,99.77,High,Suspicious,0.42,True Positive (Caught Fraud)
T8064,2025-01-06 03:31:58,A69021,B94856,5271.36,Transfer,D251,5.58.248.51,Texas,2876.4,1,1,1,1,1,0.997202,99.72,High,Suspicious,0.42,True Positive (Caught Fraud)
T1214,2025-01-05 16:08:14,A21560,B40844,6889.24,Deposit,D357,100.121.107.3,Florida,3163.76,1,0,0,1,1,0.997136,99.71,High,Suspicious,0.42,True Positive (Caught Fraud)
T3046,2025-01-02 19:14:43,A30372,B84216,8749.24,Deposit,D447,107.205.171.89,Texas,1411.21,1,1,1,0,0,0.997044,99.7,High,Suspicious,0.42,True Positive (Caught Fraud)
T8256,2025-01-02 02:21:53,A93420,B88346,7741.3,Transfer,D622,177.114.204.71,Florida,4912.8,1,1,0,0,1,0.996934,99.69,High,Suspicious,0.42,True Positive (Caught Fraud)
T6508,2025-01-06 02:32:33,A11780,B80220,6948.68,Transfer,D549,135.229.99.167,Texas,3510.39,1,0,0,1,1,0.996892,99.69,High,Suspicious,0.42,True Positive (Caught Fraud)
T3349,2025-01-06 13:58:35,A72502,B92051,7236.06,Transfer,D220,118.30.207.96,Texas,4090.53,1,1,0,0,1,0.996899,99.69,High,Suspicious,0.42,True Positive (Caught Fraud)
T3007,2025-01-02 14:04:44,A32391,B10858,6987.66,Transfer,D670,20.1.210.172,California,3726.38,1,1,0,0,1,0.996809,99.68,High,Suspicious,0.42,True Positive (Caught Fraud)
T4163,2025-01-03 06:28:23,A49023,B29307,7829.18,Transfer,D371,187.196.186.9,New York,4911.36,1,0,0,1,1,0.996518,99.65,High,Suspicious,0.42,True Positive (Caught Fraud)
T5764,2025-01-02 16:03:48,A64160,B73089,4864.55,Transfer,D978,139.174.161.135,Texas,2239.2,1,1,1,1,1,0.996472,99.65,High,Suspicious,0.42,True Positive (Caught Fraud)
T8694,2025-01-06 23:03:04,A14901,B72759,7569.24,Transfer,D512,150.135.13.23,Texas,1006.56,1,0,0,1,1,0.99635,99.64,High,Suspicious,0.42,True Positive (Caught Fraud)
T8814,2025-01-04 07:09:41,A82870,B78737,6086.65,Deposit,D445,175.197.41.28,California,1497.29,1,1,0,0,1,0.996029,99.6,High,Suspicious,0.42,True Positive (Caught Fraud)
T5704,2025-01-02 16:22:22,A20956,B13837,4701.73,Withdrawal,D431,203.148.139.61,Florida,2120.37,1,1,1,1,1,0.99587,99.59,High,Suspicious,0.42,True Positive (Caught Fraud)
T1398,2025-01-01 01:28:07,A10595,B26937,6268.41,Deposit,D515,221.50.146.163,California,2993.1,1,1,0,0,1,0.995673,99.57,High,Suspicious,0.42,True Positive (Caught Fraud)
T7537,2025-01-02 04:27:01,A65103,B43428,6501.48,Deposit,D227,197.250.153.79,California,1129.4,1,1,0,0,1,0.995554,99.56,High,Suspicious,0.42,True Positive (Caught Fraud)
T8291,2025-01-03 00:22:11,A66006,B13216,8202.98,Transfer,D560,226.172.130.252,New York,3787.92,1,1,1,0,0,0.995486,99.55,High,Suspicious,0.42,True Positive (Caught Fraud)
T4722,2025-01-06 12:42:22,A85088,B62429,6191.53,Transfer,D833,39.253.25.234,Florida,2810.48,1,1,0,0,1,0.99534,99.53,High,Suspicious,0.42,True Positive (Caught Fraud)
T1601,2025-01-06 17:28:57,A56950,B54898,5746.39,Withdrawal,D286,101.18.62.115,New York,1851.25,1,1,0,0,1,0.994101,99.41,High,Suspicious,0.42,True Positive (Caught Fraud)
T4961,2025-01-04 15:14:23,A39072,B91118,8550.01,Deposit,D374,243.70.45.89,California,4262.11,1,1,1,0,0,0.994024,99.4,High,Suspicious,0.42,True Positive (Caught Fraud)
T1418,2025-01-01 03:23:39,A53005,B35052,6692.31,Deposit,D177,212.237.13.164,Texas,4091.18,1,1,0,0,1,0.993435,99.34,High,Suspicious,0.42,True Positive (Caught Fraud)
T0972,2025-01-05 11:47:23,A93049,B59427,9647.41,Withdrawal,D134,78.135.45.175,California,3269.09,1,0,0,0,0,0.992652,99.27,High,Suspicious,0.42,True Positive (Caught Fraud)
T0867,2025-01-05 02:40:49,A90632,B81988,8339.25,Deposit,D867,112.81.89.14,Texas,4156.75,1,0,1,1,0,0.99273,99.27,High,Suspicious,0.42,True Positive (Caught Fraud)
T3127,2025-01-04 18:54:12,A37610,B49313,9299.39,Deposit,D407,105.80.46.17,New York,2164.17,1,0,0,0,0,0.9925,99.25,High,Suspicious,0.42,True Positive (Caught Fraud)
T3132,2025-01-06 13:51:56,A87779,B72580,7357.15,Deposit,D140,11.98.58.72,California,4887.9,1,0,0,1,1,0.992359,99.24,High,Suspicious,0.42,True Positive (Caught Fraud)
T3978,2025-01-05 17:11:45,A10296,B58106,9825.62,Deposit,D248,163.249.218.134,New York,1639.66,1,0,0,0,0,0.992006,99.2,High,Suspicious,0.42,True Positive (Caught Fraud)
T3739,2025-01-03 17:30:21,A30478,B42324,6470.98,Deposit,D305,136.210.145.122,California,3623.06,1,0,0,1,1,0.991777,99.18,High,Suspicious,0.42,True Positive (Caught Fraud)
T8826,2025-01-01 14:16:53,A12693,B82053,5560.63,Transfer,D585,28.42.194.241,Texas,2418.05,1,1,0,0,1,0.990994,99.1,High,Suspicious,0.42,True Positive (Caught Fraud)
T5061,2025-01-05 04:50:03,A74686,B21440,9267.55,Deposit,D923,208.68.205.205,Texas,1710.77,1,0,0,0,0,0.990945,99.09,High,Suspicious,0.42,True Positive (Caught Fraud)
T3590,2025-01-03 09:53:52,A58094,B40086,9392.54,Deposit,D824,131.133.177.84,Florida,1671.37,1,0,0,0,0,0.990772,99.08,High,Suspicious,0.42,True Positive (Caught Fraud)
T5252,2025-01-04 22:02:20,A59695,B86510,5431.6,Withdrawal,D342,31.43.197.91,New York,1721.61,1,1,0,0,1,0.990668,99.07,High,Suspicious,0.42,True Positive (Caught Fraud)
T1599,2025-01-04 06:57:40,A66411,B35412,5861.92,Deposit,D319,20.174.73.27,New York,3211.06,1,1,0,0,1,0.989999,99.0,High,Suspicious,0.42,True Positive (Caught Fraud)
T1779,2025-01-01 00:36:38,A66747,B90263,5575.43,Withdrawal,D398,104.182.236.210,New York,2643.14,1,0,0,1,1,0.98869,98.87,High,Suspicious,0.42,True Positive (Caught Fraud)
T9881,2025-01-03 08:03:18,A81152,B81515,5906.86,Transfer,D109,42.119.49.112,Florida,1428.78,1,1,1,0,0,0.988273,98.83,High,Suspicious,0.42,True Positive (Caught Fraud)
T6373,2025-01-01 08:09:05,A52903,B67357,8493.01,Withdrawal,D927,165.122.31.111,Florida,1962.87,1,0,0,0,0,0.987127,98.71,High,Suspicious,0.42,True Positive (Caught Fraud)
T1362,2025-01-05 03:55:23,A30539,B67935,6338.64,Withdrawal,D461,93.216.21.164,Texas,4234.32,1,1,0,0,1,0.986789,98.68,High,Suspicious,0.42,True Positive (Caught Fraud)
T2133,2025-01-06 16:17:15,A25438,B39815,3632.67,Withdrawal,D331,136.45.203.136,California,1433.7,1,1,1,1,1,0.9866,98.66,High,Suspicious,0.42,True Positive (Caught Fraud)
T4617,2025-01-04 05:27:39,A65255,B74277,6966.97,Transfer,D996,73.48.235.164,Texas,3504.33,1,0,1,1,0,0.986411,98.64,High,Suspicious,0.42,True Positive (Caught Fraud)
T9217,2025-01-01 02:26:42,A78582,B28113,8895.03,Deposit,D204,131.130.221.22,New York,3353.81,1,0,0,0,0,0.986389,98.64,High,Suspicious,0.42,True Positive (Caught Fraud)
T6697,2025-01-03 00:46:47,A48038,B14015,5386.78,Transfer,D753,185.194.171.68,Texas,2140.77,1,1,1,0,0,0.986173,98.62,High,Suspicious,0.42,True Positive (Caught Fraud)
T6078,2025-01-05 05:26:45,A79072,B85019,8529.28,Deposit,D513,174.183.242.147,Texas,2924.59,1,0,0,0,0,0.985626,98.56,High,Suspicious,0.42,True Positive (Caught Fraud)
T4033,2025-01-03 01:23:52,A97273,B40477,8693.62,Transfer,D316,30.151.242.131,Texas,1579.09,1,0,0,0,0,0.985191,98.52,High,Suspicious,0.42,True Positive (Caught Fraud)
T9205,2025-01-01 15:16:10,A62158,B12684,8376.9,Withdrawal,D850,253.245.133.125,California,2530.21,1,0,0,0,0,0.985065,98.51,High,Suspicious,0.42,True Positive (Caught Fraud)
T0308,2025-01-03 06:06:46,A39992,B66309,4934.92,Deposit,D660,160.196.37.11,Florida,1801.18,1,1,0,0,1,0.984799,98.48,High,Suspicious,0.42,True Positive (Caught Fraud)
T4268,2025-01-06 10:55:28,A15392,B31553,8220.04,Withdrawal,D926,215.223.252.98,Florida,2216.7,1,0,0,0,0,0.984808,98.48,High,Suspicious,0.42,True Positive (Caught Fraud)
T6074,2025-01-03 03:50:33,A93106,B70861,5008.81,Deposit,D327,248.30.206.155,New York,2191.1,1,1,0,0,1,0.98463,98.46,High,Suspicious,0.42,True Positive (Caught Fraud)
T3709,2025-01-01 08:15:25,A69858,B47077,5406.41,Withdrawal,D589,63.197.98.254,Texas,2286.91,1,1,1,0,0,0.984262,98.43,High,Suspicious,0.42,True Positive (Caught Fraud)
T6566,2025-01-04 04:02:01,A86815,B20269,6462.26,Deposit,D829,213.9.251.26,Florida,4570.71,1,1,0,0,1,0.984073,98.41,High,Suspicious,0.42,True Positive (Caught Fraud)
T2157,2025-01-06 05:03:15,A70561,B64203,9096.47,Transfer,D354,171.165.148.222,Texas,3756.86,1,0,0,0,0,0.983842,98.38,High,Suspicious,0.42,True Positive (Caught Fraud)
T0515,2025-01-01 01:06:54,A88137,B49913,5249.38,Deposit,D329,153.129.4.112,Florida,2832.19,1,1,0,0,1,0.983163,98.32,High,Suspicious,0.42,True Positive (Caught Fraud)
T2215,2025-01-06 23:38:03,A52733,B27332,5581.87,Withdrawal,D300,107.232.85.17,Florida,3253.27,1,1,0,0,1,0.981559,98.16,High,Suspicious,0.42,True Positive (Caught Fraud)
T3887,2025-01-06 19:19:57,A85160,B67290,8178.93,Transfer,D243,58.161.98.148,California,1761.15,1,0,0,0,0,0.980327,98.03,High,Suspicious,0.42,True Positive (Caught Fraud)
T3027,2025-01-03 16:18:33,A14725,B62712,8185.68,Withdrawal,D485,242.99.2.22,New York,2818.4,1,0,0,0,0,0.980168,98.02,High,Suspicious,0.42,True Positive (Caught Fraud)
T6056,2025-01-04 01:10:50,A27942,B27864,7919.17,Withdrawal,D456,208.98.142.196,Florida,1716.36,1,0,0,0,0,0.979694,97.97,High,Suspicious,0.42,True Positive (Caught Fraud)
T7521,2025-01-02 08:06:24,A23536,B87952,7818.5,Transfer,D386,175.88.225.66,Florida,2377.22,1,0,0,0,0,0.979474,97.95,High,Suspicious,0.42,True Positive (Caught Fraud)
