Amount,Account Balance,Suspicious Activity Flag,User Device Recognition,Known Threat Flag,Login Location Match,Spending Pattern Deviation,Transaction_Hour,Transaction_Day,Transaction_Month,High_Value_Transaction,Low_Balance,Type_Deposit,Type_Transfer,Type_Withdrawal,Location_California,Location_Florida,Location_New York,Location_Texas,Transaction_Weekday_Friday,Transaction_Weekday_Monday,Transaction_Weekday_Saturday,Transaction_Weekday_Sunday,Transaction_Weekday_Thursday,Transaction_Weekday_Wednesday
7754.37,2404.85,0,0,0,1,0,23,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
5248.81,1820.47,0,1,0,0,0,23,5,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
2846.38,1444.13,0,0,0,1,0,9,5,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
8094.63,4024.82,0,1,0,0,0,18,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
1861.82,1960.25,0,1,0,0,0,16,4,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
2898.31,2470.27,0,0,0,1,0,19,4,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
1840.29,1990.75,1,1,0,1,0,8,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
6742.43,1175.3,0,1,0,1,0,9,5,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
6862.67,3915.96,0,0,1,0,0,3,4,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
6525.45,3573.32,0,1,1,1,0,20,4,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
4156.6,2904.5,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1002.61,3697.34,0,1,0,1,0,11,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
9111.78,4386.0,0,1,0,0,0,15,6,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
5077.8,3473.85,0,1,0,0,0,23,3,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
4070.31,4627.14,0,1,0,1,0,11,6,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
5888.66,1805.98,0,1,0,0,0,1,5,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
1928.71,4533.43,0,1,0,1,0,15,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
1326.36,3166.14,0,1,0,1,0,3,4,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
4055.85,4366.5,0,1,0,1,0,18,3,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
2272.98,3975.24,0,1,0,1,0,18,3,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
2443.66,1230.56,0,1,0,1,0,8,3,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
8925.22,4351.18,0,1,0,1,0,0,3,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
5308.06,2349.15,0,1,0,0,1,9,3,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
4835.21,2692.54,0,1,0,0,1,19,5,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
6895.11,1044.3,0,1,0,1,0,18,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
9515.53,4034.89,0,1,0,1,0,22,3,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
1122.87,2867.83,0,1,0,1,0,10,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
8335.51,4758.47,0,1,0,0,0,21,3,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
5840.61,2123.99,0,1,0,1,0,10,5,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1462.51,2984.29,0,0,0,1,1,18,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
2972.2,2644.54,0,1,0,0,0,11,5,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
4824.13,4168.44,0,1,0,1,0,13,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
6912.08,3142.57,1,1,0,1,1,23,3,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
2426.83,2839.51,0,1,0,0,0,5,4,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
5349.25,4787.28,0,1,0,1,0,7,5,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
6847.03,2511.77,0,0,0,1,0,5,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
4487.96,2960.08,0,1,0,0,0,22,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
8630.4,3216.56,0,0,0,1,0,10,4,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
8694.72,1215.46,1,1,0,0,1,14,6,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
4707.44,3106.05,0,1,0,1,0,7,6,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
9729.28,2343.2,0,1,0,1,0,7,3,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
756.78,3600.99,0,1,0,1,1,14,6,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
34.62,3574.5,1,1,0,1,1,6,4,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
3807.3,3845.19,0,0,0,1,0,7,6,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
6011.37,2596.6,1,0,0,0,0,9,3,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
6292.37,1419.15,0,1,0,0,0,18,3,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
4764.98,2756.61,0,1,0,1,0,22,4,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
1249.71,3208.75,0,1,0,1,1,15,4,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
1705.8,1099.4,1,0,0,1,0,23,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
8521.63,3189.45,0,0,0,0,0,3,4,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
8679.24,2597.11,0,1,0,0,1,1,6,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
6739.31,2913.83,0,0,0,0,1,9,6,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
6642.52,2213.34,0,1,0,0,0,8,3,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
5977.22,2968.56,0,1,0,0,0,6,3,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2030.06,4527.36,0,0,0,1,0,10,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
4283.08,4151.4,0,1,0,0,0,13,3,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
6959.25,3464.18,0,1,0,1,0,3,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
5372.99,3506.31,0,1,0,0,0,22,5,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
186.78,4581.56,0,1,0,1,0,3,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
9535.61,2918.78,0,1,0,0,0,15,6,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
8448.32,3157.39,0,1,1,1,1,11,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
2606.19,4440.71,0,1,0,1,0,23,3,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
6164.97,4018.87,0,1,0,0,0,2,5,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
9232.47,2732.24,0,1,0,1,0,1,4,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
961.01,2221.05,0,1,0,0,0,14,6,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
5030.79,3071.27,0,1,1,1,0,15,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
4562.97,1482.44,0,1,1,1,0,13,3,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
4102.64,3721.75,0,1,0,1,0,6,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
8356.05,2857.79,0,1,0,1,1,6,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
3807.08,3379.95,0,1,0,1,0,9,6,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
637.57,4384.8,0,1,0,1,0,22,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
659.31,2425.28,0,1,0,0,0,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
428.4,2988.67,0,1,0,1,0,0,5,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
4092.05,3222.76,0,1,0,1,0,4,4,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
7184.34,2120.7,0,0,0,1,0,6,3,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
2038.02,2099.34,0,1,1,1,0,12,3,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
6465.04,3104.89,0,1,0,1,0,0,6,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
6871.2,2028.65,1,1,0,0,0,15,5,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
2552.77,4444.81,0,1,0,1,0,23,6,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
6005.98,4979.5,1,1,0,1,0,17,3,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
6849.0,1843.41,0,1,0,1,1,10,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
4666.67,3301.03,0,1,0,1,0,15,4,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
3367.83,1581.51,0,0,0,0,0,6,6,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
6191.9,1742.29,0,1,0,1,0,8,5,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
9778.49,4063.88,0,1,0,1,0,13,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
4268.99,1798.72,0,1,0,1,0,12,4,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
3917.96,3996.0,0,0,0,1,0,1,4,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
4643.2,2616.11,0,1,0,0,0,9,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
763.11,2917.84,0,1,0,1,1,6,6,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
5532.08,2037.65,0,1,0,0,0,7,6,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
3287.65,3195.93,0,0,0,1,0,13,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
1215.1,2326.22,0,1,0,1,0,10,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
4663.1,1698.26,0,1,0,0,0,1,3,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
34.84,1556.29,0,1,0,1,0,13,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
4018.45,4998.63,1,1,0,1,0,13,6,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
1058.25,2382.53,0,1,0,0,1,11,4,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
243.9,4219.7,0,1,0,0,0,21,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
8244.93,2365.54,0,1,0,1,1,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
9162.57,3491.84,0,1,0,1,0,17,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
2077.54,4364.65,0,1,0,1,0,11,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
5393.44,3784.14,0,1,0,0,0,3,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
2780.3,1276.3,0,0,0,1,0,11,4,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
4936.28,1771.1,0,1,0,1,1,13,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
4366.88,4494.33,0,1,0,1,0,8,4,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
2691.24,2884.89,0,1,0,1,0,18,4,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
7004.24,3393.88,0,0,0,1,0,5,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
1265.78,1097.81,0,1,0,1,0,2,3,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
531.67,2949.27,0,1,0,0,0,7,4,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
7676.99,2723.43,0,1,0,1,0,3,4,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
6659.63,3744.78,0,0,0,1,0,8,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
4985.76,2097.79,0,1,0,1,0,11,6,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
4678.43,3975.56,0,1,0,1,0,8,5,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
4974.62,3683.58,0,1,0,1,1,15,4,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
4370.8,3038.85,0,1,0,0,1,1,5,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
3929.53,2502.6,0,1,0,1,0,12,5,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
4997.41,2207.97,1,1,0,1,1,10,4,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
5285.62,3140.4,0,1,0,0,1,21,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
6919.33,3307.3,0,1,0,1,1,11,6,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
7112.36,2792.53,0,1,0,1,0,10,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
3776.91,2282.3,0,1,1,1,1,15,6,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
4135.99,4519.6,0,1,0,0,0,12,6,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
3737.6,2240.85,0,1,0,1,0,6,6,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
5365.82,3688.66,0,1,0,0,0,3,4,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
4534.08,4619.3,0,1,0,1,1,6,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
8896.08,3587.4,0,1,0,1,1,6,5,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
6963.92,2463.69,1,1,0,0,0,8,3,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
8986.67,2188.83,0,0,0,1,0,16,6,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
7091.66,4413.61,0,1,0,0,0,8,5,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
9709.95,2959.83,0,1,0,1,0,14,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
6357.73,3373.47,1,0,0,1,0,11,6,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
9635.54,3385.2,0,1,0,1,0,19,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
1582.54,3135.21,0,1,0,1,1,3,3,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
525.72,4725.31,0,1,0,1,0,11,3,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
5791.67,4724.14,1,1,0,1,0,23,6,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
9834.95,1161.69,0,1,0,1,0,3,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
4176.63,3022.66,0,0,0,1,1,15,5,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
2121.22,3262.27,0,1,0,1,0,7,5,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
5215.89,4702.23,0,1,0,1,0,1,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
6488.34,1278.63,0,1,0,1,0,9,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
3152.47,4156.3,0,1,0,0,0,9,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
7147.98,3569.67,0,1,0,0,0,13,5,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
9751.17,3930.0,0,1,0,1,0,12,3,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
8969.73,2166.82,0,0,1,1,0,12,3,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
2916.56,3986.45,0,1,0,1,0,10,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
3267.91,2130.69,0,0,0,1,0,6,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
3716.04,3702.67,0,1,0,1,0,3,6,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
3946.13,4148.09,0,1,0,1,0,22,3,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
1004.09,4133.23,0,1,0,1,0,20,3,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
7619.87,3177.49,0,1,0,1,1,13,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
3654.03,2654.27,0,1,0,1,0,21,3,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
8798.32,1974.22,0,0,0,1,0,9,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
9269.48,1133.98,0,1,0,0,1,5,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
245.29,1195.58,0,1,0,0,0,3,3,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
9885.04,2674.06,0,1,0,0,0,6,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
7100.52,1379.75,0,1,0,0,0,1,5,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
5204.4,1447.85,0,0,0,1,0,18,5,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
3895.89,1778.81,0,1,0,1,0,10,3,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
5185.66,2925.23,0,1,0,0,0,5,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
3246.92,3367.0,0,1,0,1,0,8,3,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
6227.26,3777.07,0,1,0,0,0,4,6,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
930.71,2944.88,0,1,0,1,0,7,3,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
6211.6,3658.95,0,1,0,0,0,21,3,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
2754.17,4448.43,0,1,0,0,0,21,3,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
177.33,2496.65,0,0,0,1,0,21,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
5527.5,3752.96,0,1,0,0,0,4,6,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
5784.9,3634.02,1,1,0,1,0,18,4,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
4266.26,3545.98,0,0,1,1,0,11,6,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
723.79,3333.98,0,1,0,1,1,21,4,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
8933.54,3904.63,0,1,0,1,0,2,5,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
6114.7,4274.17,0,1,0,0,0,9,5,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
1158.02,2568.52,0,0,0,1,1,19,5,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
5109.79,3619.05,0,1,0,1,0,12,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
4973.05,1994.04,0,1,0,1,1,7,5,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
604.96,4024.02,0,0,0,1,0,17,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
6068.99,4521.57,0,1,0,1,1,1,6,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
8083.46,4045.89,0,1,0,0,0,2,6,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
7490.33,2964.36,0,1,0,0,0,6,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
2030.49,1533.75,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
8623.06,4492.41,1,1,0,1,0,15,6,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
3426.08,4258.49,1,0,0,1,0,3,5,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
9465.14,3792.02,1,1,0,0,0,19,3,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
718.41,4405.94,0,0,0,0,0,7,3,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
4862.6,3132.11,1,1,0,1,1,7,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
5971.65,4963.13,0,0,0,1,0,2,6,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
2477.25,4348.29,0,1,0,0,1,1,6,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
7714.03,1654.39,0,1,0,1,0,18,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
6269.33,2608.62,0,0,0,1,0,5,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
182.08,1680.54,0,1,0,1,0,8,4,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
6084.08,1897.04,0,0,0,1,0,21,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
4915.29,3003.89,0,1,0,0,0,17,5,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
1961.1,2445.6,1,1,0,1,1,19,5,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
9957.49,4638.96,0,1,0,0,1,12,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
