Amount,Account Balance,Suspicious Activity Flag,User Device Recognition,Known Threat Flag,Login Location Match,Spending Pattern Deviation,Transaction_Hour,Transaction_Day,Transaction_Month,High_Value_Transaction,Low_Balance,Amount_to_Balance_Ratio,Amount_Percent_of_Balance,Spending_Deviation_Amount,Location_Deviation,Unusual_Hour,High_Amount_Unusual_Hour,Location_Deviation_High_Amount,Type_Deposit,Type_Transfer,Type_Withdrawal,Location_California,Location_Florida,Location_New York,Location_Texas,Transaction_Weekday_Friday,Transaction_Weekday_Monday,Transaction_Weekday_Saturday,Transaction_Weekday_Sunday,Transaction_Weekday_Thursday,Transaction_Weekday_Wednesday
1558.34,3145.87,0,0,0,1,0,18,1,1,0,0,0.4953605838766382,49.53605838766382,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
1643.04,3467.72,0,0,0,0,0,1,4,1,0,0,0.4738098808438974,47.38098808438975,0.0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
709.78,3479.58,0,1,0,0,0,17,4,1,0,0,0.2039843889205018,20.398438892050187,0.0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
3199.82,1238.8,0,1,0,1,0,5,3,1,0,0,2.5829996771068777,258.2999677106878,0.0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
4735.61,2311.32,1,1,0,1,1,18,4,1,0,0,2.048876832286312,204.88768322863123,4735.61,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
9978.98,2050.17,0,1,0,0,0,22,3,1,0,0,4.867391484608593,486.73914846085927,0.0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
4310.5,3719.95,1,1,0,1,0,7,3,1,0,0,1.158752133765239,115.87521337652387,0.0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
7262.7,3941.65,0,0,0,1,0,2,4,1,0,0,1.8425532454682685,184.2553245468268,0.0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
6934.28,1837.08,0,0,0,1,0,4,2,1,0,0,3.7746205935506345,377.46205935506345,0.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
2045.62,4304.32,0,1,0,0,0,17,3,1,0,0,0.4752481228161475,47.52481228161475,0.0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
586.01,2940.14,0,1,0,1,0,11,3,1,0,0,0.1993136381260756,19.931363812607565,0.0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
5460.52,2051.84,0,1,1,1,1,3,3,1,0,0,2.661279631940112,266.1279631940112,5460.52,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
7003.36,2199.01,0,1,0,1,1,0,5,1,0,0,3.184778604917667,318.4778604917667,7003.36,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
9982.52,2054.15,0,1,0,0,1,21,5,1,0,0,4.8596840542316775,485.9684054231677,9982.52,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
3586.75,3417.77,0,1,0,1,0,9,6,1,0,0,1.049441594958116,104.9441594958116,0.0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
8963.75,3108.26,0,0,0,1,0,23,3,1,0,0,2.883848198027192,288.3848198027192,0.0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
3819.94,4754.92,0,1,0,1,0,15,6,1,0,0,0.8033657769215886,80.33657769215885,0.0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
6894.43,2094.76,0,1,0,1,0,13,5,1,0,0,3.29127441807176,329.127441807176,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
5982.93,2276.71,0,1,0,1,0,18,6,1,0,0,2.6278840959103267,262.7884095910327,0.0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
530.73,1025.91,0,1,0,1,0,19,2,1,0,0,0.5173260812351961,51.73260812351961,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
784.81,2193.35,0,1,0,1,0,0,5,1,0,0,0.3578133904757563,35.78133904757563,0.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
208.62,2003.52,0,1,0,1,0,10,5,1,0,0,0.1041267369429803,10.412673694298036,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
3708.97,2607.98,0,1,0,1,0,17,2,1,0,0,1.422161979769783,142.21619797697832,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
7458.26,2982.56,0,1,0,1,0,12,2,1,0,0,2.500623625341988,250.0623625341988,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
1728.38,3681.0,0,1,0,1,0,0,1,1,0,0,0.4695408856289052,46.954088562890526,0.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
6058.92,1767.55,0,1,0,0,0,10,2,1,0,0,3.427863426777177,342.78634267771776,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2888.99,3225.68,1,0,0,1,1,5,6,1,0,0,0.8956220083827285,89.56220083827286,2888.99,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
7970.13,3914.57,0,0,0,1,0,18,1,1,0,0,2.036016727252291,203.6016727252291,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
7984.16,1964.73,0,1,0,1,0,12,2,1,0,0,4.063744127691845,406.3744127691845,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
7754.37,2404.85,0,0,0,1,0,23,1,1,0,0,3.2244713807513983,322.44713807513983,0.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
5248.81,1820.47,0,1,0,0,0,23,5,1,0,0,2.883216971441441,288.3216971441441,0.0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
2846.38,1444.13,0,0,0,1,0,9,5,1,0,0,1.97099984073456,197.099984073456,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
8094.63,4024.82,0,1,0,0,0,18,1,1,0,0,2.011178139643512,201.1178139643512,0.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
1861.82,1960.25,0,1,0,0,0,16,4,1,0,0,0.9497870169621222,94.97870169621224,0.0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
2898.31,2470.27,0,0,0,1,0,19,4,1,0,0,1.1732766053913135,117.32766053913136,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
1840.29,1990.75,1,1,0,1,0,8,1,1,0,0,0.924420444556072,92.4420444556072,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
6742.43,1175.3,0,1,0,1,0,9,5,1,0,0,5.736773589721774,573.6773589721774,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
6862.67,3915.96,0,0,1,0,0,3,4,1,0,0,1.7524872572753551,175.24872572753551,0.0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
6525.45,3573.32,0,1,1,1,0,20,4,1,0,0,1.826158866264426,182.6158866264426,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
4156.6,2904.5,1,1,0,0,0,1,1,1,0,0,1.4310896884145292,143.1089688414529,0.0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1002.61,3697.34,0,1,0,1,0,11,1,1,0,0,0.2711706253685081,27.117062536850817,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
9111.78,4386.0,0,1,0,0,0,15,6,1,0,0,2.0774692202462384,207.74692202462384,0.0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
5077.8,3473.85,0,1,0,0,0,23,3,1,0,0,1.4617211451271646,146.17211451271646,0.0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
4070.31,4627.14,0,1,0,1,0,11,6,1,0,0,0.8796600059648075,87.96600059648075,0.0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
5888.66,1805.98,0,1,0,0,0,1,5,1,0,0,3.260645189869212,326.0645189869212,0.0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
1928.71,4533.43,0,1,0,1,0,15,2,1,0,0,0.4254416633762956,42.54416633762956,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
1326.36,3166.14,0,1,0,1,0,3,4,1,0,0,0.4189201993594724,41.89201993594724,0.0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
4055.85,4366.5,0,1,0,1,0,18,3,1,0,0,0.9288560632085194,92.88560632085196,0.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
2272.98,3975.24,0,1,0,1,0,18,3,1,0,0,0.5717843450961452,57.17843450961452,0.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
2443.66,1230.56,0,1,0,1,0,8,3,1,0,0,1.985811337927448,198.5811337927448,0.0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
8925.22,4351.18,0,1,0,1,0,0,3,1,0,0,2.051218290210931,205.12182902109308,0.0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
5308.06,2349.15,0,1,0,0,1,9,3,1,0,0,2.259566226081774,225.9566226081774,5308.06,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
4835.21,2692.54,0,1,0,0,1,19,5,1,0,0,1.7957801926805173,179.57801926805172,4835.21,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
6895.11,1044.3,0,1,0,1,0,18,1,1,0,0,6.602614191324332,660.2614191324333,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
9515.53,4034.89,0,1,0,1,0,22,3,1,0,0,2.3583121225113945,235.83121225113945,0.0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
1122.87,2867.83,0,1,0,1,0,10,2,1,0,0,0.3915399448363396,39.153994483633966,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
8335.51,4758.47,0,1,0,0,0,21,3,1,0,0,1.7517206160803789,175.17206160803786,0.0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
5840.61,2123.99,0,1,0,1,0,10,5,1,0,0,2.749829330646566,274.9829330646566,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1462.51,2984.29,0,0,0,1,1,18,2,1,0,0,0.4900696648113957,49.00696648113957,1462.51,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
2972.2,2644.54,0,1,0,0,0,11,5,1,0,0,1.1239005649375695,112.39005649375696,0.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
4824.13,4168.44,0,1,0,1,0,13,1,1,0,0,1.1572986536929883,115.72986536929884,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
6912.08,3142.57,1,1,0,1,1,23,3,1,0,0,2.1994991360574305,219.94991360574303,6912.08,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
2426.83,2839.51,0,1,0,0,0,5,4,1,0,0,0.8546650654514334,85.46650654514335,0.0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
5349.25,4787.28,0,1,0,1,0,7,5,1,0,0,1.117388161962534,111.7388161962534,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
6847.03,2511.77,0,0,0,1,0,5,2,1,0,0,2.7259780951281365,272.5978095128136,0.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
4487.96,2960.08,0,1,0,0,0,22,1,1,0,0,1.516161725358774,151.6161725358774,0.0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
8630.4,3216.56,0,0,0,1,0,10,4,1,0,0,2.6831148804934464,268.31148804934463,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
8694.72,1215.46,1,1,0,0,1,14,6,1,0,0,7.153439849933358,715.3439849933358,8694.72,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
4707.44,3106.05,0,1,0,1,0,7,6,1,0,0,1.51557122390174,151.55712239017402,0.0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
9729.28,2343.2,0,1,0,1,0,7,3,1,0,0,4.152133834073063,415.2133834073063,0.0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
756.78,3600.99,0,1,0,1,1,14,6,1,0,0,0.2101588729765981,21.01588729765981,756.78,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
34.62,3574.5,1,1,0,1,1,6,4,1,0,0,0.0096852706672261,0.9685270667226183,34.62,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
3807.3,3845.19,0,0,0,1,0,7,6,1,0,0,0.9901461306203336,99.01461306203336,0.0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
6011.37,2596.6,1,0,0,0,0,9,3,1,0,0,2.315092813679427,231.5092813679427,0.0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
6292.37,1419.15,0,1,0,0,0,18,3,1,0,0,4.433900574287425,443.3900574287425,0.0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
4764.98,2756.61,0,1,0,1,0,22,4,1,0,0,1.7285651579294856,172.85651579294856,0.0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
1249.71,3208.75,0,1,0,1,1,15,4,1,0,0,0.3894694195559018,38.94694195559018,1249.71,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
1705.8,1099.4,1,0,0,1,0,23,2,1,0,0,1.551573585592141,155.15735855921412,0.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
8521.63,3189.45,0,0,0,0,0,3,4,1,0,0,2.671818025051341,267.1818025051341,0.0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
8679.24,2597.11,0,1,0,0,1,1,6,1,0,0,3.341883863217191,334.1883863217191,8679.24,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
6739.31,2913.83,0,0,0,0,1,9,6,1,0,0,2.3128700027112084,231.28700027112083,6739.31,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
6642.52,2213.34,0,1,0,0,0,8,3,1,0,0,3.0011295146701364,300.11295146701366,0.0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
5977.22,2968.56,0,1,0,0,0,6,3,1,0,0,2.013508232947961,201.35082329479613,0.0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2030.06,4527.36,0,0,0,1,0,10,1,1,0,0,0.4483981834888323,44.839818348883234,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
4283.08,4151.4,0,1,0,0,0,13,3,1,0,0,1.0317194199547142,103.1719419954714,0.0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
6959.25,3464.18,0,1,0,1,0,3,2,1,0,0,2.0089169731365,200.89169731365,0.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
5372.99,3506.31,0,1,0,0,0,22,5,1,0,0,1.532377342562409,153.2377342562409,0.0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
186.78,4581.56,0,1,0,1,0,3,1,1,0,0,0.0407677734221531,4.076777342215316,0.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
9535.61,2918.78,0,1,0,0,0,15,6,1,0,0,3.266984836130164,326.69848361301644,0.0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
8448.32,3157.39,0,1,1,1,1,11,1,1,0,0,2.6757290040191424,267.57290040191424,8448.32,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
2606.19,4440.71,0,1,0,1,0,23,3,1,0,0,0.5868858808613938,58.68858808613938,0.0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
6164.97,4018.87,0,1,0,0,0,2,5,1,0,0,1.5340058275087276,153.40058275087276,0.0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
9232.47,2732.24,0,1,0,1,0,1,4,1,0,0,3.3790845606535296,337.90845606535294,0.0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
961.01,2221.05,0,1,0,0,0,14,6,1,0,0,0.4326827401454267,43.26827401454267,0.0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
5030.79,3071.27,0,1,1,1,0,15,1,1,0,0,1.638016195254732,163.8016195254732,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
4562.97,1482.44,0,1,1,1,0,13,3,1,0,0,3.078013275410809,307.8013275410809,0.0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
4102.64,3721.75,0,1,0,1,0,6,1,1,0,0,1.102341640357359,110.23416403573589,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
8356.05,2857.79,0,1,0,1,1,6,1,1,0,0,2.923955224141732,292.3955224141732,8356.05,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
3807.08,3379.95,0,1,0,1,0,9,6,1,0,0,1.1263716918889333,112.63716918889332,0.0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
637.57,4384.8,0,1,0,1,0,22,1,1,0,0,0.1454045794563036,14.540457945630362,0.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
659.31,2425.28,0,1,0,0,0,2,1,1,0,0,0.2718490236178915,27.18490236178915,0.0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
428.4,2988.67,0,1,0,1,0,0,5,1,0,0,0.1433413525079717,14.334135250797177,0.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
4092.05,3222.76,0,1,0,1,0,4,4,1,0,0,1.2697346373915526,126.97346373915524,0.0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
7184.34,2120.7,0,0,0,1,0,6,3,1,0,0,3.3877210355071443,338.7721035507144,0.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
2038.02,2099.34,0,1,1,1,0,12,3,1,0,0,0.9707908199719912,97.07908199719913,0.0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
6465.04,3104.89,0,1,0,1,0,0,6,1,0,0,2.0822122522859106,208.22122522859107,0.0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
6871.2,2028.65,1,1,0,0,0,15,5,1,0,0,3.387080077884307,338.70800778843073,0.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
2552.77,4444.81,0,1,0,1,0,23,6,1,0,0,0.5743260116855388,57.43260116855387,0.0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
6005.98,4979.5,1,1,0,1,0,17,3,1,0,0,1.206141178833216,120.6141178833216,0.0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
6849.0,1843.41,0,1,0,1,1,10,1,1,0,0,3.7153970088043353,371.5397008804336,6849.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
4666.67,3301.03,0,1,0,1,0,15,4,1,0,0,1.4137011781171331,141.37011781171333,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
3367.83,1581.51,0,0,0,0,0,6,6,1,0,0,2.1295028169281256,212.95028169281252,0.0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
6191.9,1742.29,0,1,0,1,0,8,5,1,0,0,3.553885977650104,355.38859776501045,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
9778.49,4063.88,0,1,0,1,0,13,1,1,0,0,2.4061955569554216,240.61955569554215,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
4268.99,1798.72,0,1,0,1,0,12,4,1,0,0,2.3733488258317026,237.33488258317027,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
3917.96,3996.0,0,0,0,1,0,1,4,1,0,0,0.9804704704704704,98.04704704704706,0.0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
4643.2,2616.11,0,1,0,0,0,9,2,1,0,0,1.774848916903341,177.4848916903341,0.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
763.11,2917.84,0,1,0,1,1,6,6,1,0,0,0.2615325034957366,26.15325034957366,763.11,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
5532.08,2037.65,0,1,0,0,0,7,6,1,0,0,2.7149314160920666,271.49314160920665,0.0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
3287.65,3195.93,0,0,0,1,0,13,2,1,0,0,1.028699001542587,102.8699001542587,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
1215.1,2326.22,0,1,0,1,0,10,2,1,0,0,0.5223495628100524,52.23495628100524,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
4663.1,1698.26,0,1,0,0,0,1,3,1,0,0,2.7458104177216685,274.5810417721668,0.0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
34.84,1556.29,0,1,0,1,0,13,2,1,0,0,0.0223865731965122,2.238657319651222,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
4018.45,4998.63,1,1,0,1,0,13,6,1,0,0,0.8039102714143674,80.39102714143674,0.0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
1058.25,2382.53,0,1,0,0,1,11,4,1,0,0,0.44417069249915,44.417069249915,1058.25,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
243.9,4219.7,0,1,0,0,0,21,2,1,0,0,0.0578003175581202,5.780031755812025,0.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
8244.93,2365.54,0,1,0,1,1,3,1,1,0,0,3.485432501669809,348.5432501669809,8244.93,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
9162.57,3491.84,0,1,0,1,0,17,1,1,0,0,2.623994799303519,262.3994799303519,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
2077.54,4364.65,0,1,0,1,0,11,2,1,0,0,0.4759923476109196,47.59923476109196,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
5393.44,3784.14,0,1,0,0,0,3,1,1,0,0,1.4252749633998745,142.52749633998744,0.0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
2780.3,1276.3,0,0,0,1,0,11,4,1,0,0,2.178406330799969,217.8406330799969,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
4936.28,1771.1,0,1,0,1,1,13,2,1,0,0,2.787126644458246,278.7126644458246,4936.28,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
4366.88,4494.33,0,1,0,1,0,8,4,1,0,0,0.9716420467566912,97.16420467566913,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
2691.24,2884.89,0,1,0,1,0,18,4,1,0,0,0.932874390358038,93.2874390358038,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
7004.24,3393.88,0,0,0,1,0,5,2,1,0,0,2.06378540195882,206.378540195882,0.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
1265.78,1097.81,0,1,0,1,0,2,3,1,0,0,1.1530046182854956,115.30046182854956,0.0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
531.67,2949.27,0,1,0,0,0,7,4,1,0,0,0.1802717282581791,18.027172825817917,0.0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
